iso_code,country,continent,date_frame,date,cases,deaths,total_recovery,total_cases,total_deaths
AFG,Afghanistan,Asia,22/01/2020,22/01/2020,0,0,0,0,0
ALB,Albania,Europe,22/01/2020,22/01/2020,0,0,0,0,0
DZA,Algeria,Africa,22/01/2020,22/01/2020,0,0,0,0,0
AND,Andorra,Europe,22/01/2020,22/01/2020,0,0,0,0,0
AGO,Angola,Africa,22/01/2020,22/01/2020,0,0,0,0,0
ATG,Antigua and Barbuda,America,22/01/2020,22/01/2020,0,0,0,0,0
ARG,Argentina,America,22/01/2020,22/01/2020,0,0,0,0,0
ARM,Armenia,Europe,22/01/2020,22/01/2020,0,0,0,0,0
ABW,Aruba,America,22/01/2020,22/01/2020,0,0,0,0,0
AUS,Australia,Oceania,22/01/2020,22/01/2020,0,0,0,0,0
AUT,Austria,Europe,22/01/2020,22/01/2020,0,0,0,0,0
AZE,Azerbaijan,Europe,22/01/2020,22/01/2020,0,0,0,0,0
BHS,Bahamas,America,22/01/2020,22/01/2020,0,0,0,0,0
BHR,Bahrain,Asia,22/01/2020,22/01/2020,0,0,0,0,0
BGD,Bangladesh,Asia,22/01/2020,22/01/2020,0,0,0,0,0
BRB,Barbados,America,22/01/2020,22/01/2020,0,0,0,0,0
BLR,Belarus,Europe,22/01/2020,22/01/2020,0,0,0,0,0
BEL,Belgium,America,22/01/2020,22/01/2020,0,0,0,0,0
BLZ,Belize,America,22/01/2020,22/01/2020,0,0,0,0,0
BEN,Benin,Africa,22/01/2020,22/01/2020,0,0,0,0,0
BMU,Bermuda,America,22/01/2020,22/01/2020,0,0,0,0,0
BTN,Bhutan,Asia,22/01/2020,22/01/2020,0,0,0,0,0
BOL,Bolivia,America,22/01/2020,22/01/2020,0,0,0,0,0
BES,Bonaire Sint Eustatius and Saba,America,22/01/2020,22/01/2020,0,0,0,0,0
BIH,Bosnia and Herzegovina,Europe,22/01/2020,22/01/2020,0,0,0,0,0
BWA,Botswana,Africa,22/01/2020,22/01/2020,0,0,0,0,0
BRA,Brazil,America,22/01/2020,22/01/2020,0,0,0,0,0
BRN,Brunei,Asia,22/01/2020,22/01/2020,0,0,0,0,0
BGR,Bulgaria,Europe,22/01/2020,22/01/2020,0,0,0,0,0
BFA,Burkina Faso,Africa,22/01/2020,22/01/2020,0,0,0,0,0
BDI,Burundi,Africa,22/01/2020,22/01/2020,0,0,0,0,0
KHM,Cambodia,Asia,22/01/2020,22/01/2020,0,0,0,0,0
CMR,Cameroon,Africa,22/01/2020,22/01/2020,0,0,0,0,0
CAN,Canada,America,22/01/2020,22/01/2020,0,0,0,0,0
CPV,Cape Verde,Africa,22/01/2020,22/01/2020,0,0,0,0,0
CYM,Cayman Islands,America,22/01/2020,22/01/2020,0,0,0,0,0
CAF,Central African Republic,Africa,22/01/2020,22/01/2020,0,0,0,0,0
CHL,Chile,America,22/01/2020,22/01/2020,0,0,0,0,0
CHN,China,Asia,22/01/2020,22/01/2020,259,9,28,1,0
COL,Colombia,America,22/01/2020,22/01/2020,0,0,0,0,0
COG,Congo,Africa,22/01/2020,22/01/2020,0,0,0,0,0
CRI,Costa Rica,America,22/01/2020,22/01/2020,0,0,0,0,0
CIV,Cote d'Ivoire,Africa,22/01/2020,22/01/2020,0,0,0,0,0
HRV,Croatia,Europe,22/01/2020,22/01/2020,0,0,0,0,0
CUB,Cuba,America,22/01/2020,22/01/2020,0,0,0,0,0
CUW,Curacao,America,22/01/2020,22/01/2020,0,0,0,0,0
CYP,Cyprus,Europe,22/01/2020,22/01/2020,0,0,0,0,0
CZE,Czech Republic,Europe,22/01/2020,22/01/2020,0,0,0,0,0
COD,Democratic Republic of Congo,Africa,22/01/2020,22/01/2020,0,0,0,0,0
DNK,Denmark,Europe,22/01/2020,22/01/2020,0,0,0,0,0
DJI,Djibouti,Africa,22/01/2020,22/01/2020,0,0,0,0,0
DMA,Dominica,America,22/01/2020,22/01/2020,0,0,0,0,0
DOM,Dominican Republic,America,22/01/2020,22/01/2020,0,0,0,0,0
ECU,Ecuador,America,22/01/2020,22/01/2020,0,0,0,0,0
EGY,Egypt,Africa,22/01/2020,22/01/2020,0,0,0,0,0
GNQ,Equatorial Guinea,Africa,22/01/2020,22/01/2020,0,0,0,0,0
ERI,Eritrea,Africa,22/01/2020,22/01/2020,0,0,0,0,0
EST,Estonia,Europe,22/01/2020,22/01/2020,0,0,0,0,0
ETH,Ethiopia,Africa,22/01/2020,22/01/2020,0,0,0,0,0
FRO,Faeroe Islands,Europe,22/01/2020,22/01/2020,0,0,0,0,0
FLK,Falkland Islands,America,22/01/2020,22/01/2020,0,0,0,0,0
FJI,Fiji,Oceania,22/01/2020,22/01/2020,0,0,0,0,0
FIN,Finland,Europe,22/01/2020,22/01/2020,0,0,0,0,0
FRA,France,Europe,22/01/2020,22/01/2020,0,0,0,0,0
GAB,Gabon,Africa,22/01/2020,22/01/2020,0,0,0,0,0
GMB,Gambia,Africa,22/01/2020,22/01/2020,0,0,0,0,0
GEO,Georgia,Europe,22/01/2020,22/01/2020,0,0,0,0,0
DEU,Germany,Europe,22/01/2020,22/01/2020,0,0,0,0,0
GHA,Ghana,Africa,22/01/2020,22/01/2020,0,0,0,0,0
GIB,Gibraltar,Europe,22/01/2020,22/01/2020,0,0,0,0,0
GRC,Greece,Europe,22/01/2020,22/01/2020,0,0,0,0,0
GRL,Greenland,America,22/01/2020,22/01/2020,0,0,0,0,0
GRD,Grenada,America,22/01/2020,22/01/2020,0,0,0,0,0
GUM,Guam,Oceania,22/01/2020,22/01/2020,0,0,0,0,0
GTM,Guatemala,America,22/01/2020,22/01/2020,0,0,0,0,0
GGY,Guernsey,Europe,22/01/2020,22/01/2020,0,0,0,0,0
GIN,Guinea,Africa,22/01/2020,22/01/2020,0,0,0,0,0
GNB,Guinea-Bissau,Africa,22/01/2020,22/01/2020,0,0,0,0,0
GUY,Guyana,America,22/01/2020,22/01/2020,0,0,0,0,0
HTI,Haiti,America,22/01/2020,22/01/2020,0,0,0,0,0
HND,Honduras,America,22/01/2020,22/01/2020,0,0,0,0,0
HUN,Hungary,Europe,22/01/2020,22/01/2020,0,0,0,0,0
ISL,Iceland,Europe,22/01/2020,22/01/2020,0,0,0,0,0
IND,India,Asia,22/01/2020,22/01/2020,0,0,0,0,0
